Date,Time,Transaction,Item
2016-10-30,9:58:12,1,Bread
2016-10-30,10:05:36,2,Scandinavian
2016-10-30,10:08:00,3,Hot chocolate
2016-10-30,10:08:01,3,Cookies
2016-10-30,10:08:46,4,Muffin
2016-10-30,10:13:09,5,Coffee
2016-10-30,10:13:10,5,Pastry
2016-10-30,10:17:03,6,Medialuna
2016-10-30,10:17:04,6,Pastry
2016-10-30,10:19:22,7,Medialuna
2016-10-30,10:19:23,7,Pastry
2016-10-30,10:19:24,7,Coffee
2016-10-30,10:19:25,7,Tea
2016-10-30,10:21:05,8,Bread
2016-10-30,10:22:14,9,Bread
2016-10-30,10:22:15,9,Muffin
2016-10-30,10:26:15,10,Scandinavian
2016-10-30,10:26:16,10,Medialuna
2016-10-30,10:27:40,11,Bread
2016-10-30,10:27:41,11,Bread
2016-10-30,10:27:42,11,NONE
2016-10-30,10:30:36,12,Jam
2016-10-30,10:30:37,12,Coffee
2016-10-30,10:30:38,12,Tartine
2016-10-30,10:30:39,12,Pastry
2016-10-30,10:31:50,13,Basket
2016-10-30,10:31:51,13,Bread
2016-10-30,10:31:52,13,Coffee
2016-10-30,10:33:15,14,Bread
2016-10-30,10:33:16,14,Medialuna
2016-10-30,10:33:17,14,Pastry
2016-10-30,10:35:08,15,NONE
2016-10-30,10:35:09,15,NONE
2016-10-30,10:37:42,16,Bread
2016-10-30,10:37:43,16,Coffee
2016-10-30,10:38:40,17,Hot chocolate
2016-10-30,10:42:33,18,Farm House
2016-10-30,10:43:46,19,Farm House
2016-10-30,10:43:47,19,Bread
2016-10-30,10:46:02,20,Bread
2016-10-30,10:46:03,20,Medialuna
2016-10-30,10:50:11,21,Coffee
2016-10-30,10:50:12,21,Coffee
2016-10-30,10:50:13,21,Medialuna
2016-10-30,10:50:14,21,Bread
2016-10-30,10:53:01,22,Jam
2016-10-30,10:54:36,23,Scandinavian
2016-10-30,10:54:37,23,Muffin
2016-10-30,10:55:22,24,Bread
2016-10-30,10:56:12,25,Scandinavian
2016-10-30,10:56:59,26,Fudge
2016-10-30,11:03:11,27,Scandinavian
2016-10-30,11:04:17,28,Coffee
2016-10-30,11:04:18,28,Bread
2016-10-30,11:06:25,29,Bread
2016-10-30,11:06:26,29,NONE
2016-10-30,11:08:16,30,Bread
2016-10-30,11:13:54,31,Basket
2016-10-30,11:17:14,32,Scandinavian
2016-10-30,11:17:15,32,Muffin
2016-10-30,11:23:50,33,Coffee
2016-10-30,11:26:47,34,Coffee
2016-10-30,11:26:48,34,Muffin
2016-10-30,11:28:38,35,Scandinavian
2016-10-30,11:34:13,36,Bread
2016-10-30,11:38:16,37,Coffee
2016-10-30,11:38:17,37,Bread
2016-10-30,11:38:18,37,NONE
2016-10-30,11:43:49,38,Bread
2016-10-30,11:43:50,38,Tea
2016-10-30,11:57:02,40,Juice
2016-10-30,11:57:03,40,NONE
2016-10-30,11:57:04,40,Tartine
2016-10-30,11:57:05,40,Coffee
2016-10-30,11:57:06,40,Muffin
2016-10-30,11:58:22,41,Scandinavian
2016-10-30,11:59:02,42,Bread
2016-10-30,11:59:03,42,Tea
2016-10-30,12:01:41,43,Scandinavian
2016-10-30,12:01:42,43,Fudge
2016-10-30,12:07:08,44,Coffee
2016-10-30,12:07:09,44,Medialuna
2016-10-30,12:09:59,45,Coffee
2016-10-30,12:10:00,45,Hot chocolate
2016-10-30,12:10:01,45,Medialuna
2016-10-30,12:10:30,46,Coffee
2016-10-30,12:16:56,47,Ella's Kitchen Pouches
2016-10-30,12:16:57,47,Juice
2016-10-30,12:16:58,47,Muffin
2016-10-30,12:16:59,47,Jam
2016-10-30,12:18:33,48,Coffee
2016-10-30,12:24:33,49,Coffee
